champname,role
Aatrox,Fighter - Frontline
Ahri,Mage
Akali,Assassin
Akshan,ADC
Alistar,Tank
Amumu,Tank
Anivia,Mage
Annie,Mage
Aphelios,ADC
Ashe,ADC
AurelionSol,Mage
Azir,Mage
Bard,Enchanter
Belveth,Fighter - Squishy
Blitzcrank,Tank
Brand,Mage
Braum,Tank
Caitlyn,ADC
Camille,Fighter - Frontline
Cassiopeia,Mage
Chogath,Tank
Corki,ADC
Darius,Fighter - Frontline
Diana,Assassin
DrMundo,Tank
Draven,ADC
Ekko,Assassin
Elise,Assassin
Evelynn,Assassin
Ezreal,ADC
FiddleSticks,Mage
Fiora,Fighter - Frontline
Fizz,Assassin
Galio,Assassin
Gangplank,Mage
Garen,Fighter - Frontline
Gnar,Fighter - Frontline
Gragas,Mage
Graves,ADC
Gwen,Fighter - Squishy
Hecarim,Fighter - Squishy
Heimerdinger,Mage
Illaoi,Fighter - Frontline
Irelia,Fighter - Frontline
Ivern,Enchanter
Janna,Enchanter
JarvanIV,Fighter - Squishy
Jax,Fighter - Frontline
Jayce,Fighter - Squishy
Jhin,ADC
Jinx,ADC
KSante,Tank
Kaisa,ADC
Kalista,ADC
Karma,Enchanter
Karthus,Mage
Kassadin,Mage
Katarina,Assassin
Kayle,ADC
Kayn,Assassin
Kennen,Fighter - Squishy
Khazix,Assassin
Kindred,ADC
Kled,Fighter - Frontline
KogMaw,ADC
Leblanc,Assassin
LeeSin,Fighter - Squishy
Leona,Tank
Lillia,Fighter - Squishy
Lissandra,Fighter - Squishy
Lucian,ADC
Lulu,Enchanter
Lux,Mage
Malphite,Fighter - Frontline
Malzahar,Mage
Maokai,Tank
MasterYi,Fighter - Squishy
Milio,Enchanter
MissFortune,ADC
MonkeyKing,Fighter - Squishy
Mordekaiser,Fighter - Squishy
Morgana,Enchanter
Nami,Enchanter
Nasus,Fighter - Frontline
Nautilus,Tank
Neeko,Fighter - Squishy
Nidalee,Assassin
Nilah,Fighter - Squishy
Nocturne,Fighter - Squishy
Nunu,Fighter - Squishy
Olaf,Fighter - Frontline
Orianna,Mage
Ornn,Tank
Pantheon,Fighter - Squishy
Poppy,Tank
Pyke,Fighter - Squishy
Qiyana,Assassin
Quinn,ADC
Rakan,Assassin
Rammus,Tank
RekSai,Fighter - Squishy
Rell,Tank
Renata,Enchanter
Renekton,Fighter - Frontline
Rengar,Assassin
Riven,Fighter - Squishy
Rumble,Fighter - Squishy
Ryze,Mage
Samira,Fighter - Squishy
Sejuani,Tank
Senna,ADC
Seraphine,Enchanter
Sett,Fighter - Frontline
Shaco,Assassin
Shen,Tank
Shyvana,Fighter - Squishy
Singed,Fighter - Frontline
Sion,Fighter - Frontline
Sivir,ADC
Skarner,Fighter - Squishy
Sona,Enchanter
Soraka,Enchanter
Swain,Fighter - Frontline
Sylas,Fighter - Squishy
Syndra,Mage
TahmKench,Tank
Taliyah,Mage
Talon,Assassin
Taric,Tank
Teemo,ADC
Thresh,Assassin
Tristana,ADC
Trundle,Fighter - Squishy
Tryndamere,Fighter - Squishy
TwistedFate,Mage
Twitch,ADC
Udyr,Fighter - Frontline
Urgot,Fighter - Frontline
Varus,ADC
Vayne,ADC
Veigar,Mage
Velkoz,Mage
Vex,Mage
Vi,Fighter - Squishy
Viego,Assassin
Viktor,Mage
Vladimir,Fighter - Squishy
Volibear,Fighter - Frontline
Warwick,Fighter - Frontline
Xayah,ADC
Xerath,Mage
XinZhao,Fighter - Squishy
Yasuo,Fighter - Squishy
Yone,Fighter - Squishy
Yorick,Fighter - Frontline
Yuumi,Enchanter
Zac,Tank
Zed,Assassin
Zeri,ADC
Ziggs,Mage
Zilean,Mage
Zoe,Mage
Zyra,Mage
